# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fdf0aa4 @ 6fdf0aa4 (191 xrefs)
[X] DAT_6fdf0aac @ 6fdf0aac (183 xrefs)
[X] s_..\Source\D2Common\DATATBLS\Data_6fde1828 @ 6fde1828 (181 xrefs)
[X] DAT_6fde9e20 @ 6fde9e20 (123 xrefs)
[X] DAT_6fdeff80 @ 6fdeff80 (114 xrefs)
[X] PTR_gdwBitMasks_6fdd90b0 @ 6fdd90b0 (95 xrefs)
[X] DAT_6fdf0954 @ 6fdf0954 (94 xrefs)
[X] DAT_6fdf0958 @ 6fdf0958 (74 xrefs)
[ ] DAT_6fdf0a78 @ 6fdf0a78 (66 xrefs)
[ ] DAT_6fdf0acc @ 6fdf0acc (63 xrefs)
[ ] DAT_6fdf1720 @ 6fdf1720 (63 xrefs)
[ ] DAT_6fdeff9c @ 6fdeff9c (60 xrefs)
[ ] DAT_6fdf0950 @ 6fdf0950 (57 xrefs)
[ ] DAT_6fdf0a70 @ 6fdf0a70 (56 xrefs)
[ ] DAT_6fdf0ad4 @ 6fdf0ad4 (53 xrefs)
[ ] DAT_6fdefb98 @ 6fdefb98 (51 xrefs)
[ ] DAT_6fdf0a74 @ 6fdf0a74 (50 xrefs)
[ ] DAT_6fdeff6c @ 6fdeff6c (48 xrefs)
[ ] PTR_FUN_6fdeb244 @ 6fdeb244 (46 xrefs)
[ ] s_..\Source\D2Common\DRLG\Preset.c_6fde6eb0 @ 6fde6eb0 (44 xrefs)
[ ] DAT_6fdf0a40 @ 6fdf0a40 (44 xrefs)
[ ] DAT_6fdefb94 @ 6fdefb94 (43 xrefs)
[ ] DAT_6fdf0070 @ 6fdf0070 (43 xrefs)
[ ] DAT_6fdf0b34 @ 6fdf0b34 (40 xrefs)
[ ] DAT_6fdf0ad0 @ 6fdf0ad0 (37 xrefs)
[ ] DAT_6fdf0aa8 @ 6fdf0aa8 (36 xrefs)
[ ] s_..\Source\D2Common\DRLG\DrlgRoom_6fde3340 @ 6fde3340 (29 xrefs)
